Repo Type,Repo Name,Filename,ML TD Type,ML Pipeline Stage,NLC,CS,TFI,ANL,ANC,AVT,AVM,Weighted Average
Application,GilesStrong/lumin,lumin/nn/interpretation/features.py,MLInter,Modeling,-0.5759859216980611,0.1522459863449989,-0.2227116891069849,-0.5646107849883668,-0.5411665609167671,-0.4877000754602569,-0.5285471323575112,-0.39549659688327843
Application,roscisz/TensorHive,tensorhive/controllers/reservation/update_reservation_controller.py,DS Configuration,Other,-0.6164059863786268,-0.0689544601831609,-0.0997470740423946,-0.7859180587952116,-0.6796194249997043,-0.7455038665599781,-0.6046579194169928,-0.5144009700537242
Tool,gunthercox/ChatterBot,chatterbot/algorithms/engram.py,MLKnow,Data Pre,-0.5018824697836907,-0.342821679694216,-0.6398076634060751,-0.8132560161478218,-0.6733261129959345,-0.7965141540515955,-0.6807687064764744,-0.6354824003651154
Application,PratikBarhate/question-classification,qc/dataprep/feature_stack.py,MDepend,Data Acq,-0.5423025344642564,-0.342821679694216,-0.6604657187369263,-0.8484048184583207,-0.7677257930524826,-0.7970646247799223,-0.756879493535956,-0.6736663803888687
Application,rmalav15/Super-SloMo,data_loader.py,Data Conf,Data Acq,1.519120764244594,-0.342821679694216,-0.6781726233062273,-0.5554981325374967,-0.3523672008036708,-0.4688005804543699,1.0697793958916026,0.02731999190574514
Application,xinshuoweng/Xinshuo_PyToolbox,xinshuo_images/python/image_processing.py,Data Conf,Data Pre,0.5692492442513001,-0.342821679694216,-0.3761715287075935,-0.0790365901062897,0.4783499836939528,0.3218588756657004,1.8308872664864184,0.3431879387984675
Application,mpkuse/cartwheel_train,CustomNets.py,UMC,Data Acq,1.1486035046727416,-0.3270216477993475,-0.6703028879420935,-0.1701631146149905,-0.239087584735813,0.2778212173995558,-0.6046579194169928,-0.08354406177670567
Application,comtravo/ctparse,ctparse/partial_parse.py,Data Conf,Data Pre,-0.5355658570174954,-0.332288325097637,-0.5916055343007558,-0.5945523573269399,-0.4153003208413695,-0.5706376651948292,0.1564499511778233,-0.41192858694302903
Application,deep-fry/mayo,mayo/task/image/generate.py,MCR,Training,-0.5423025344642564,-0.3480883569925055,-0.3732203779460434,-0.5776288599181812,-0.5411665609167671,-0.4776081121075988,-0.4524363452980295,-0.47320730680619744
Application,pyro-ppl/funsor,funsor/tensor.py,MCR,Data Acq,-0.461462405103125,-0.1058212012711876,0.0832242731737156,1.3308209247926095,2.1397843526892,1.751247866887642,-0.1479931970601031,0.655685802015536
Application,pyro-ppl/funsor,funsor/domains.py,Proto,Data Acq,-0.3738855982952326,-0.3059549386061894,0.1048660454250835,-0.245667949207914,0.1133378874753,-0.2238411063489408,0.00422837705886,-0.13241675464271907
Application,sorgerlab/indra,indra/literature/s3_client.py,Data Conf,Data Acq,-0.3334655336146669,-0.3375550023959265,0.4560529860495533,-0.3328890512376705,-0.1258079686679552,-0.3609083177023157,-0.6046579194169928,-0.2341758295694249
Application,sorgerlab/indra,indra/sources/ndex_cx/processor.py,MCR,Data Acq,0.6770360833994753,-0.3480883569925055,0.6104965425706788,-0.547687287579608,-0.3460738887999009,-0.5403617751368548,1.0697793958916026,0.08215724476469821
Application,pescadores/pescador,pescador.py,MCR,Modeling,-0.6433526961656706,-0.3533550342907951,-0.6880097925113945,-0.4292228057182971,-0.188741088705654,-0.4339374343270054,0.00422837705886,-0.39034149637999377
Application,mozilla/bugbug,scripts/commit_classifier.py,UMC ,Other,-0.6164059863786268,-0.221688101833557,-0.0997470740423946,0.6695027183580381,0.5035232317090323,0.4495680846375195,-0.4524363452980295,0.03318807530742599
Application,mozilla/bugbug,scripts/test_scheduling_history_retriever.py,DS Configuration,Data Acq,-0.5894592765915829,-0.3006882613078999,-0.041707775731908,-0.1337125048115102,0.012644895414982,-0.2643924500023489,-0.756879493535956,-0.2963135523666034
Application,Calysto/conx,conx/__init__.py,Weight Conf,Training,1.5460674740316376,-0.3270216477993475,-0.6663680202600266,-0.5997595872988657,-0.5097000008979177,-0.5319212239691771,0.9936686088321208,-0.013576342480225186
Application,SMTorg/smt,smt/surrogate_models/surrogate_model.py,Proto,Modeling,-0.4412523727628421,-0.3533550342907951,-0.194183898412,-0.6531336945111047,-0.591513056946926,-0.6148588137037493,-0.9091010676549192,-0.5367711340403338
Application,HewlettPackard/dlcookbook-dlbs,python/pytorch_benchmarks/dataset_factory.py,DS Configuration,Data Acq,1.3102837633950044,-0.090021169376319,-0.0741704341089598,-0.3979794258867425,-0.3649538248112105,-0.4021936223268262,0.7653362476536761,0.10661450493408892
Application,alan-turing-institute/sktime,sktime/transformers/series_to_series.py,MCR,Training,0.2324153719132527,-0.2954215840096104,-0.5296313683082022,-0.7924270962601188,-0.648152864980855,-0.7478892397160609,-0.756879493535956,-0.5054266106996501
Tool,openml/openml-python,openml/flows/flow.py,CDT,Data Pre,-0.3806222757419936,-0.342821679694216,-0.4902826914875333,-0.6518318870181232,-0.6355662409733152,-0.6757775743052493,-0.5285471323575112,-0.529349925939706
Tool,microsoft/NimbusML,src/python/nimbusml/pipeline.py,MCM,Prediction,-0.4749357599966468,0.0363790857826294,1.7968591487138454,3.750881054245106,4.915134946351715,2.8831991745703327,3.0486598594381245,2.279453929872158
Tool,menpo/menpo,pybug/transform/modeldriven.py,MLKnow,Modeling,0.3402022110614279,-0.2954215840096104,-0.3860086979127608,-0.8796481982898753,-0.7803124170600223,-0.8511942463987251,-0.9091010676549192,-0.5373548571806408
Tool,menpo/menpo,menpo/shape/mesh/base.py,MDepend,Modeling,-0.6568260510591925,-0.342821679694216,-0.1784444276837324,0.8947154146438272,-0.4593535048677586,0.680949280777554,-0.8329902805954376,-0.12782446406842224
Tool,CPJKU/madmom,madmom/features/beats.py,MCC,Modeling,0.319992178721145,-0.2427548110267151,-0.5158593314209682,0.3752942249442327,-0.0125283526000974,0.3613092778624548,0.0803391641183416,0.05225605008548479
Tool,CPJKU/madmom,madmom/audio/signal.py,MCM,Data Acq,-0.5423025344642564,-0.342821679694216,-0.2748486858943712,1.2657305501435374,1.1517343680973295,0.4805779356665963,0.0803391641183416,0.25977273113899446
Tool,nyu-mll/jiant,src/tasks/tasks.py,UMC,Data Acq,3.5401239982728785,-0.342821679694216,-0.1735258430811488,2.328005464416392,2.045384672632652,3.237335343127245,6.16920212887687,2.4005291549358105
Tool,scikit-learn-contrib/metric-learn,metric_learn/nca.py,UMC,Training,-0.4075689855290373,-0.100554523972898,-0.4351945439385969,-0.4747860679726474,-0.6670328009921646,-0.5792617066052824,-0.4524363452980295,-0.4452621391869509
Tool,Accenture/AmpliGraph,ampligraph/latent_features/models.py,UMC,Evaluation,-0.3065188238276231,-0.3164882932027684,-0.5266802175466521,3.795142509006475,2.8194620490963467,3.8334951419051766,1.2981117570700476,1.513789160357286
Tool,awslabs/sockeye,sockeye/inference.py,MDepend,Training,5.61502065187525,-0.1058212012711876,-0.1627049569554648,2.682097102507344,1.667785952406459,2.2934615342895466,2.1353304147243453,2.017881356796613
Tool,awslabs/sockeye,sockeye/transformer.py,UMC,Modeling,-0.5423025344642564,-0.3480883569925055,-0.1086005263270451,-0.0803383975992712,-0.3586605128074406,-0.0803517364984198,-0.5285471323575112,-0.2924127424352071
Tool,optuna/optuna,optuna/pruners/hyperband.py,DS Configuration,Data Pre,-0.6568260510591925,-0.1426879423592142,0.3980136877390667,-0.5125384852691092,-0.5978063689506959,-0.6359601916229436,-0.9091010676549192,-0.43670091702528685
Tool,explosion/thinc,thinc/neural/_classes/affine.py,Layer Conf,Modeling,-0.6433526961656706,0.0943125360638141,-0.1804118615247658,-0.733845759075954,-0.6355662409733152,-0.6759610645480248,-0.756879493535956,-0.5045292256799818
Tool,explosion/thinc,thinc/layers/staticvectors.py,CDT,Other,-0.5961959540383439,-0.3270216477993475,-0.0623658310627592,-0.7572782939496199,-0.6796194249997043,-0.6631167475537327,-0.2241039841195847,-0.4728145547890132
Tool,chartbeat-labs/textacy,textacy/lang_utils.py,MLKnow,Data Pre,-0.3469388885081888,-0.0847544920780295,-0.2256628398685351,-0.733845759075954,-0.6796194249997043,-0.7431184934038954,-0.8329902805954376,-0.5209900255042492
Tool,inspirehep/magpie,magpie/__init__.py,DS Configuration,Training,1.9570047982840555,-0.3533550342907951,-0.6476773987702089,-0.5932505498339585,-0.5726331209356165,-0.5421966775646108,0.2325607382373049,-0.07422103498197563
